altitude_km,elevation_deg,TBS_bits,payload_type,RTT_ms,path_loss_dB,SNR_dB,n_repetitions,N_TBPHC,TB_index,direction,use_bundling,n_bundle,n_DD2A,n_UG2D,SUF_fixed,SUF_variable,throughput_fixed_bps,throughput_variable_bps,throughput_gain_percent,N_HARQ_required
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,1,1,uplink,0,1,1,1,0.166666667,0.142857143,24000,20571.42857,-14.28571429,5
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,1,1,downlink,0,1,1,1,0.125,0.111111111,18000,16000,-11.11111111,5
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,1,1,downlink,1,2,1,1,0.125,0.111111111,18000,16000,-11.11111111,5
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,1,1,downlink,1,4,1,1,0.125,0.111111111,18000,16000,-11.11111111,5
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,1,uplink,0,1,2,2,0.166666667,0.25,24000,36000,50,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,2,uplink,0,1,2,2,0.166666667,0.25,24000,36000,50,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,1,downlink,0,1,2,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,2,downlink,0,1,2,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,1,downlink,1,2,2,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,2,downlink,1,2,1,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,1,downlink,1,4,2,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,2,2,downlink,1,4,1,2,0.125,0.2,18000,28800,60,9
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,3,1,uplink,0,1,3,3,0.166666667,0.333333333,24000,48000,100,12
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,3,2,uplink,0,1,3,3,0.166666667,0.333333333,24000,48000,100,12
600,10,144,transparent,19.31635359,104.1891028,30.06540126,1,3,3,uplink,0,1,3,3,0.166666667,0.333333333,24000,48000,100,12
